,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
1089,719332531645071360,1,0,1.0,1078.0,3711.0
1090,719339463458033665,1,0,1.0,1403.0,4822.0
1091,719367763014393856,0,0,3.0,827.0,3022.0
1092,719551379208073216,1,0,15.0,2192.0,5515.0
1093,719704490224398336,0,3,1.0,1645.0,4974.0
1094,719991154352222208,1,1,20.0,1979.0,5281.0
1095,720043174954147842,1,0,0.0,2253.0,5332.0
1096,720059472081784833,1,0,1.0,1268.0,4229.0
1097,720340705894408192,0,3,19.0,1098.0,3131.0
1098,720389942216527872,1,0,23.0,2840.0,6974.0
1099,720415127506415616,1,0,0.0,1681.0,4503.0
1100,720775346191278080,1,0,0.0,760.0,2702.0
1101,720785406564900865,1,0,1.0,866.0,3400.0
1102,721001180231503872,1,3,15.0,686.0,2748.0
1103,721503162398597120,1,0,0.0,2124.0,5086.0
1104,722613351520608256,1,0,2.0,1831.0,5393.0
1105,722974582966214656,1,0,2.0,1764.0,4493.0
1106,723179728551723008,0,0,16.0,2110.0,5761.0
1107,723673163800948736,1,0,0.0,1011.0,3291.0
1108,723688335806480385,0,0,1.0,3347.0,8435.0
1109,723912936180330496,1,0,16.0,1374.0,4236.0
1110,724004602748780546,0,3,22.0,1790.0,4561.0
1111,724046343203856385,1,0,1.0,620.0,2901.0
1112,724049859469295616,1,0,1.0,1984.0,4738.0
1113,724405726123311104,1,3,1.0,1847.0,5800.0
1114,724771698126512129,1,1,1.0,725.0,2593.0
1115,724983749226668032,1,0,15.0,1462.0,4040.0
1116,725729321944506368,1,0,16.0,2009.0,5646.0
1117,725786712245440512,1,3,20.0,1527.0,4537.0
1118,725842289046749185,1,0,0.0,2970.0,7691.0
1119,726224900189511680,1,0,1.0,1302.0,4811.0
1120,726828223124897792,1,0,17.0,1124.0,3882.0
1121,726887082820554753,1,0,21.0,1677.0,4195.0
1122,726935089318363137,0,0,0.0,2738.0,7496.0
1123,727175381690781696,1,0,16.0,1540.0,4209.0
1124,727286334147182592,0,0,23.0,920.0,3324.0
1125,727314416056803329,1,3,1.0,834.0,3623.0
1126,727524757080539137,1,3,15.0,1379.0,4900.0
1127,727644517743104000,1,1,23.0,1962.0,6431.0
1128,727685679342333952,1,0,2.0,720.0,3206.0
1129,728015554473250816,1,3,0.0,1219.0,4479.0
1130,728035342121635841,0,3,1.0,1872.0,4953.0
1131,728046963732717569,1,0,2.0,1328.0,4722.0
1132,728387165835677696,1,0,0.0,1075.0,3999.0
1133,728409960103686147,0,0,2.0,2269.0,5383.0
1134,728653952833728512,0,0,18.0,1169.0,3620.0
1135,728751179681943552,1,0,0.0,757.0,3032.0
1136,728760639972315136,1,0,1.0,1911.0,5090.0
1137,728986383096946689,1,0,16.0,917.0,3460.0
1138,729113531270991872,0,0,0.0,370.0,2054.0
1139,729463711119904772,1,0,0.0,2586.0,6340.0
1140,729823566028484608,1,0,0.0,1390.0,4358.0
1141,729838605770891264,0,0,1.0,431.0,1856.0
1142,729854734790754305,0,0,2.0,1268.0,4396.0
1143,730196704625098752,0,0,0.0,2172.0,5339.0
1144,730211855403241472,1,0,1.0,1182.0,4180.0
1145,730427201120833536,1,0,15.0,1176.0,3809.0
1146,730573383004487680,1,3,1.0,2435.0,5407.0
1147,730924654643314689,0,0,0.0,2234.0,6682.0
1148,731156023742988288,0,0,16.0,1434.0,4196.0
1149,731285275100512256,1,0,0.0,1090.0,3798.0
1150,732005617171337216,1,0,0.0,6154.0,16324.0
1151,732375214819057664,0,1,1.0,2838.0,8832.0
1152,732585889486888962,1,0,14.0,868.0,4016.0
1153,732726085725589504,1,0,0.0,1003.0,3855.0
1154,732732193018155009,0,0,0.0,599.0,2671.0
1155,733109485275860992,1,5,1.0,17621.0,44619.0
1156,733460102733135873,1,0,0.0,1451.0,4605.0
1157,733482008106668032,1,0,2.0,1065.0,3438.0
1158,733822306246479872,1,2,0.0,1141.0,4015.0
1159,733828123016450049,1,0,1.0,881.0,3926.0
1160,734776360183431168,1,0,16.0,608.0,2742.0
1161,734787690684657664,1,0,16.0,7102.0,13745.0
1162,734912297295085568,1,0,1.0,572.0,2993.0
